id,RX_SENSITIVITY_DBM,RSSI_INFLECTION_POINT,TRANSMITTING_RANGE,PATH_LOSS_EXPONENT,AWGN_SIGMA,mean_rssi_dbm,std_rssi_dbm,min_rssi_dbm,loss_rate_pct,throughput_pkt_s,mean_delay_s,std_delay_s,std_loss_rate,per_node_min_prr
6,-100,-120.0,40,1.0,3.5,-92.92,4.8163,-100,75.22,29.74,0.985541,0.62336,4.8896,0.167
12,-100,-120.0,40,1.0,6.5,-92.42,6.3204,-100,77.13,27.44,1.094487,0.755401,6.4547,0.1197
1,-100,-120.0,40,1.0,1.0,-93.34,3.8286,-100,77.24,27.31,1.026658,0.614361,4.0023,0.1453
3,-100,-120.0,40,1.0,2.0,-93.38,4.5055,-100,77.67,26.8,1.106959,0.652668,4.0529,0.1463
2,-100,-120.0,40,1.0,1.5,-93.02,4.0918,-100,75.97,28.83,1.04935,0.631599,4.3375,0.1718
5,-100,-120.0,40,1.0,3.0,-93.46,4.6954,-100,77.6,26.87,1.146061,0.693295,4.4386,0.1356
4,-100,-120.0,40,1.0,2.5,-93.15,4.7991,-100,76.48,28.23,1.067755,0.644462,4.3362,0.1669
11,-100,-120.0,40,1.0,6.0,-92.05,6.4146,-100,78.01,26.38,1.176517,0.717583,4.3905,0.1717
10,-100,-120.0,40,1.0,5.5,-92.44,6.1095,-100,77.17,27.4,1.093099,0.673134,4.2837,0.1486
9,-100,-120.0,40,1.0,5.0,-92.81,5.7927,-100,78.21,26.15,1.17327,0.705092,4.9873,0.1414
7,-100,-120.0,40,1.0,4.0,-92.95,5.182,-100,77.99,26.42,1.162698,0.669329,3.7935,0.1569
8,-100,-120.0,40,1.0,4.5,-92.57,5.4154,-100,78.58,25.71,1.246083,0.706415,4.3191,0.1592
13,-100,-120.0,40,1.0,7.0,-91.89,6.8147,-100,77.52,26.98,1.137036,0.693423,4.8491,0.1559
17,-100,-120.0,40,1.0,9.0,-91.45,7.9266,-100,77.96,26.46,1.106204,0.668378,3.6814,0.1363
16,-100,-120.0,40,1.0,8.5,-91.5,7.5239,-100,76.8,27.84,1.10791,0.637074,3.349,0.1715
14,-100,-120.0,40,1.0,7.5,-92.33,6.8065,-100,78.36,25.97,1.197107,0.744102,4.539,0.1269
22,-100,-120.0,40,1.0,11.5,-90.33,9.5981,-100,76.41,28.31,1.054804,0.690048,4.0396,0.1593
20,-100,-120.0,40,1.0,10.5,-90.85,8.6758,-100,76.94,27.68,1.092893,0.647169,2.9948,0.1646
18,-100,-120.0,40,1.0,9.5,-91.31,8.1179,-100,77.26,27.29,1.122853,0.670671,4.2271,0.161
21,-100,-120.0,40,1.0,11.0,-90.73,8.9646,-100,76.89,27.73,1.112928,0.672832,3.7847,0.1614
19,-100,-120.0,40,1.0,10.0,-90.62,8.7075,-100,76.94,27.67,1.073069,0.754667,5.6701,0.1205
23,-100,-120.0,40,1.0,12.0,-89.72,9.6407,-100,77.3,27.23,1.168409,0.77806,5.9786,0.1173
15,-100,-120.0,40,1.0,8.0,-91.54,7.4554,-100,77.89,26.53,1.171488,0.686637,3.8494,0.157
24,-100,-120.0,40,1.0,12.5,-89.81,10.0397,-100,77.97,26.43,1.161006,0.705709,4.1045,0.155
25,-100,-120.0,40,1.0,13.0,-89.98,10.3099,-100,77.9,26.52,1.227435,0.83771,6.3912,0.1329
27,-100,-120.0,40,1.0,14.0,-89.22,10.7567,-100,75.74,29.11,1.06747,0.628905,3.2349,0.1995
26,-100,-120.0,40,1.0,13.5,-89.6,10.5053,-100,77.17,27.39,1.128488,0.641591,2.5437,0.1739
28,-100,-120.0,40,1.25,1.0,-91.48,5.4044,-100,77.83,26.61,1.174851,0.720742,6.0611,0.1499
34,-100,-120.0,40,1.25,4.0,-91.48,6.3542,-100,77.23,27.32,1.130668,0.665068,4.0301,0.1514
32,-100,-120.0,40,1.25,3.0,-91.85,5.6076,-100,77.3,27.24,1.089648,0.653397,4.1929,0.1599
